year,chip_name,vendor,launch_date,memory_gb,fp16_tflops,tdp_watts,estimated_shipments_units,estimated_asp_usd,estimated_revenue_usd_m,description,analysis_period,source_validation_caution,launch_date_parsed,before_launch_year_flag,zero_asp_flag,zero_memory_flag,calculated_revenue_usd_m,revenue_abs_diff_usd_m,revenue_review_flag,all_market_values_estimated,performance_per_watt_tflops,performance_per_1000_usd
2026,NVIDIA L40S,NVIDIA,8/8/2023,48,362,350,120445,15000,1806.7,Ada Lovelace inference,AI expansion,True,2023-08-08,False,False,False,1806.675,0.02500000000009095,False,True,1.0342857142857143,24.133333333333333
2024,NVIDIA B200,NVIDIA,30/10/2024,192,2250,1000,5165,35000,180.8,"Blackwell, GB200 dominant 2025",AI expansion,False,2024-10-30,False,False,False,180.775,0.025000000000005684,False,True,2.25,64.28571428571428
2025,NVIDIA B200,NVIDIA,30/10/2024,192,2250,1000,126650,35000,4432.8,"Blackwell, GB200 dominant 2025",AI expansion,True,2024-10-30,False,False,False,4432.75,0.0500000000001819,False,True,2.25,64.28571428571428
2026,NVIDIA B200,NVIDIA,30/10/2024,192,2250,1000,86084,35000,3012.9,"Blackwell, GB200 dominant 2025",AI expansion,True,2024-10-30,False,False,False,3012.94,0.03999999999996362,False,True,2.25,64.28571428571428
2024,NVIDIA GB200,NVIDIA,30/10/2024,384,5000,2700,2564,65000,166.7,Blackwell superchip dual B200,AI expansion,False,2024-10-30,False,False,False,166.66,0.03999999999999204,False,True,1.8518518518518519,76.92307692307693
2025,NVIDIA GB200,NVIDIA,30/10/2024,384,5000,2700,45968,65000,2987.9,Blackwell superchip dual B200,AI expansion,True,2024-10-30,False,False,False,2987.92,0.01999999999998181,False,True,1.8518518518518519,76.92307692307693
2026,NVIDIA GB200,NVIDIA,30/10/2024,384,5000,2700,40186,65000,2612.1,Blackwell superchip dual B200,AI expansion,True,2024-10-30,False,False,False,2612.09,0.009999999999763531,False,True,1.8518518518518519,76.92307692307693
2025,NVIDIA B300,NVIDIA,15/12/2025,288,3500,1400,0,40000,0.0,Blackwell Ultra,AI expansion,True,2025-12-15,False,False,False,0.0,0.0,False,True,2.5,87.5
2026,NVIDIA B300,NVIDIA,15/12/2025,288,3500,1400,888,40000,35.5,Blackwell Ultra,AI expansion,True,2025-12-15,False,False,False,35.52,0.020000000000003126,False,True,2.5,87.5
2021,AMD MI250X,AMD,8/11/2021,128,383,500,23,15000,0.3,"CDNA2, used in Frontier supercomputer",Smart automobile expansion,False,2021-11-08,False,False,False,0.345,0.044999999999999984,False,True,0.766,25.533333333333335
2022,AMD MI250X,AMD,8/11/2021,128,383,500,1030,15000,15.4,"CDNA2, used in Frontier supercomputer",Transition Year,False,2021-11-08,False,False,False,15.45,0.049999999999998934,False,True,0.766,25.533333333333335
2023,AMD MI250X,AMD,8/11/2021,128,383,500,713,15000,10.7,"CDNA2, used in Frontier supercomputer",AI expansion,False,2021-11-08,False,False,False,10.695,0.004999999999999005,False,True,0.766,25.533333333333335
2024,AMD MI250X,AMD,8/11/2021,128,383,500,354,15000,5.3,"CDNA2, used in Frontier supercomputer",AI expansion,False,2021-11-08,False,False,False,5.31,0.009999999999999787,False,True,0.766,25.533333333333335
2025,AMD MI250X,AMD,8/11/2021,128,383,500,122,15000,1.8,"CDNA2, used in Frontier supercomputer",AI expansion,True,2021-11-08,False,False,False,1.83,0.030000000000000027,False,True,0.766,25.533333333333335
2026,AMD MI250X,AMD,8/11/2021,128,383,500,159,15000,2.4,"CDNA2, used in Frontier supercomputer",AI expansion,True,2021-11-08,False,False,False,2.385,0.015000000000000124,False,True,0.766,25.533333333333335
2023,AMD MI300X,AMD,6/12/2023,192,1300,750,0,18000,0.0,"CDNA3, primary H100 competitor",AI expansion,False,2023-12-06,False,False,False,0.0,0.0,False,True,1.7333333333333334,72.22222222222221
2024,AMD MI300X,AMD,6/12/2023,192,1300,750,414143,18000,7454.6,"CDNA3, primary H100 competitor",AI expansion,False,2023-12-06,False,False,False,7454.574,0.026000000000749424,False,True,1.7333333333333334,72.22222222222221
2025,AMD MI300X,AMD,6/12/2023,192,1300,750,369849,18000,6657.3,"CDNA3, primary H100 competitor",AI expansion,True,2023-12-06,False,False,False,6657.282,0.018000000000029104,False,True,1.7333333333333334,72.22222222222221
2026,AMD MI300X,AMD,6/12/2023,192,1300,750,162122,18000,2918.2,"CDNA3, primary H100 competitor",AI expansion,True,2023-12-06,False,False,False,2918.196,0.0039999999999054126,False,True,1.7333333333333334,72.22222222222221
2024,AMD MI325X,AMD,10/10/2024,256,1300,1000,2651,22000,58.3,MI300X refresh,AI expansion,False,2024-10-10,False,False,False,58.322,0.02200000000000557,False,True,1.3,59.090909090909086
2025,AMD MI325X,AMD,10/10/2024,256,1300,1000,52331,22000,1151.3,MI300X refresh,AI expansion,True,2024-10-10,False,False,False,1151.282,0.018000000000029104,False,True,1.3,59.090909090909086
2026,AMD MI325X,AMD,10/10/2024,256,1300,1000,39454,22000,868.0,MI300X refresh,AI expansion,True,2024-10-10,False,False,False,867.988,0.011999999999943611,False,True,1.3,59.090909090909086
2025,AMD MI350,AMD,1/6/2025,288,1850,1000,138,15000,2.1,CDNA4 Blackwell competitor,AI expansion,True,2025-06-01,False,False,False,2.07,0.03000000000000025,False,True,1.85,123.33333333333334
2026,AMD MI350,AMD,1/6/2025,288,1850,1000,1393,15000,20.9,CDNA4 Blackwell competitor,AI expansion,True,2025-06-01,False,False,False,20.895,0.004999999999999005,False,True,1.85,123.33333333333334
2020,Google TPU v3,Google,8/5/2018,32,123,220,747,15000,11.2,Internal-only TPU,Smart automobile expansion,False,2018-05-08,False,False,False,11.205,0.005000000000000782,False,True,0.5590909090909091,8.200000000000001
2021,Google TPU v3,Google,8/5/2018,32,123,220,361,15000,5.4,Internal-only TPU,Smart automobile expansion,False,2018-05-08,False,False,False,5.415,0.01499999999999968,False,True,0.5590909090909091,8.200000000000001
2022,Google TPU v3,Google,8/5/2018,32,123,220,160,15000,2.4,Internal-only TPU,Transition Year,False,2018-05-08,False,False,False,2.4,0.0,False,True,0.5590909090909091,8.200000000000001
2023,Google TPU v3,Google,8/5/2018,32,123,220,155,15000,2.3,Internal-only TPU,AI expansion,False,2018-05-08,False,False,False,2.325,0.025000000000000355,False,True,0.5590909090909091,8.200000000000001
2024,Google TPU v3,Google,8/5/2018,32,123,220,121,15000,1.8,Internal-only TPU,AI expansion,False,2018-05-08,False,False,False,1.815,0.014999999999999902,False,True,0.5590909090909091,8.200000000000001
2025,Google TPU v3,Google,8/5/2018,32,123,220,177,15000,2.7,Internal-only TPU,AI expansion,True,2018-05-08,False,False,False,2.655,0.04500000000000037,False,True,0.5590909090909091,8.200000000000001
2026,Google TPU v3,Google,8/5/2018,32,123,220,147,15000,2.2,Internal-only TPU,AI expansion,True,2018-05-08,False,False,False,2.205,0.004999999999999893,False,True,0.5590909090909091,8.200000000000001
2021,Google TPU v4,Google,18/5/2021,32,275,170,148,15000,2.2,TPU v4 pod 4096 chips,Smart automobile expansion,False,2021-05-18,False,False,False,2.22,0.020000000000000018,False,True,1.6176470588235294,18.333333333333332
2022,Google TPU v4,Google,18/5/2021,32,275,170,1195,15000,17.9,TPU v4 pod 4096 chips,Transition Year,False,2021-05-18,False,False,False,17.925,0.02500000000000213,False,True,1.6176470588235294,18.333333333333332
2023,Google TPU v4,Google,18/5/2021,32,275,170,878,15000,13.2,TPU v4 pod 4096 chips,AI expansion,False,2021-05-18,False,False,False,13.17,0.02999999999999936,False,True,1.6176470588235294,18.333333333333332
2024,Google TPU v4,Google,18/5/2021,32,275,170,330,15000,5.0,TPU v4 pod 4096 chips,AI expansion,False,2021-05-18,False,False,False,4.95,0.04999999999999982,False,True,1.6176470588235294,18.333333333333332
2025,Google TPU v4,Google,18/5/2021,32,275,170,195,15000,2.9,TPU v4 pod 4096 chips,AI expansion,True,2021-05-18,False,False,False,2.925,0.02499999999999991,False,True,1.6176470588235294,18.333333333333332
2026,Google TPU v4,Google,18/5/2021,32,275,170,165,15000,2.5,TPU v4 pod 4096 chips,AI expansion,True,2021-05-18,False,False,False,2.475,0.02499999999999991,False,True,1.6176470588235294,18.333333333333332
2023,Google TPU v5e,Google,29/8/2023,16,197,170,59908,15000,898.6,Cost-efficient TPU,AI expansion,False,2023-08-29,False,False,False,898.62,0.01999999999998181,False,True,1.1588235294117648,13.133333333333333
2024,Google TPU v5e,Google,29/8/2023,16,197,170,761631,15000,11424.5,Cost-efficient TPU,AI expansion,False,2023-08-29,False,False,False,11424.465,0.03499999999985448,False,True,1.1588235294117648,13.133333333333333
2025,Google TPU v5e,Google,29/8/2023,16,197,170,491607,15000,7374.1,Cost-efficient TPU,AI expansion,True,2023-08-29,False,False,False,7374.105,0.004999999999199645,False,True,1.1588235294117648,13.133333333333333
2026,Google TPU v5e,Google,29/8/2023,16,197,170,238991,15000,3584.9,Cost-efficient TPU,AI expansion,True,2023-08-29,False,False,False,3584.865,0.03500000000030923,False,True,1.1588235294117648,13.133333333333333
2023,Google TPU v5p,Google,6/12/2023,96,459,170,0,0,0.0,Production TPU,AI expansion,False,2023-12-06,False,True,False,0.0,0.0,False,True,2.7,
2024,Google TPU v5p,Google,6/12/2023,96,459,170,272799,0,0.0,Production TPU,AI expansion,False,2023-12-06,False,True,False,0.0,0.0,False,True,2.7,
2025,Google TPU v5p,Google,6/12/2023,96,459,170,214821,0,0.0,Production TPU,AI expansion,True,2023-12-06,False,True,False,0.0,0.0,False,True,2.7,
2026,Google TPU v5p,Google,6/12/2023,96,459,170,100220,0,0.0,Production TPU,AI expansion,True,2023-12-06,False,True,False,0.0,0.0,False,True,2.7,
2024,Google TPU v6 Trillium,Google,14/5/2024,32,926,200,46633,0,0.0,6th gen TPU,AI expansion,False,2024-05-14,False,True,False,0.0,0.0,False,True,4.63,
2025,Google TPU v6 Trillium,Google,14/5/2024,32,926,200,305904,0,0.0,6th gen TPU,AI expansion,True,2024-05-14,False,True,False,0.0,0.0,False,True,4.63,
2026,Google TPU v6 Trillium,Google,14/5/2024,32,926,200,237500,0,0.0,6th gen TPU,AI expansion,True,2024-05-14,False,True,False,0.0,0.0,False,True,4.63,
2025,Google TPU v7,Google,1/12/2025,64,1500,300,0,15000,0.0,TPU v7 announcement,AI expansion,True,2025-12-01,False,False,False,0.0,0.0,False,True,5.0,100.0
2026,Google TPU v7,Google,1/12/2025,64,1500,300,801,15000,12.0,TPU v7 announcement,AI expansion,True,2025-12-01,False,False,False,12.015,0.015000000000000568,False,True,5.0,100.0
2024,AWS Trainium2,AWS,3/12/2024,96,650,500,0,15000,0.0,AWS custom training silicon,AI expansion,False,2024-12-03,False,False,False,0.0,0.0,False,True,1.3,43.333333333333336
2025,AWS Trainium2,AWS,3/12/2024,96,650,500,67686,15000,1015.3,AWS custom training silicon,AI expansion,True,2024-12-03,False,False,False,1015.29,0.009999999999990905,False,True,1.3,43.333333333333336
2026,AWS Trainium2,AWS,3/12/2024,96,650,500,82503,15000,1237.5,AWS custom training silicon,AI expansion,True,2024-12-03,False,False,False,1237.545,0.04500000000007276,False,True,1.3,43.333333333333336
2022,AWS Inferentia2,AWS,15/12/2022,32,190,175,0,15000,0.0,AWS custom inference,Transition Year,False,2022-12-15,False,False,False,0.0,0.0,False,True,1.0857142857142856,12.666666666666666
2023,AWS Inferentia2,AWS,15/12/2022,32,190,175,182522,15000,2737.8,AWS custom inference,AI expansion,False,2022-12-15,False,False,False,2737.83,0.02999999999974534,False,True,1.0857142857142856,12.666666666666666
2024,AWS Inferentia2,AWS,15/12/2022,32,190,175,111438,15000,1671.6,AWS custom inference,AI expansion,False,2022-12-15,False,False,False,1671.57,0.029999999999972715,False,True,1.0857142857142856,12.666666666666666
2025,AWS Inferentia2,AWS,15/12/2022,32,190,175,66238,15000,993.6,AWS custom inference,AI expansion,True,2022-12-15,False,False,False,993.57,0.029999999999972715,False,True,1.0857142857142856,12.666666666666666
2026,AWS Inferentia2,AWS,15/12/2022,32,190,175,21199,15000,318.0,AWS custom inference,AI expansion,True,2022-12-15,False,False,False,317.985,0.014999999999986358,False,True,1.0857142857142856,12.666666666666666
2024,Cerebras WSE-3,Cerebras,13/3/2024,0,1250,23000,228,2500000,570.0,Wafer-scale 4 trillion transistors,AI expansion,False,2024-03-13,False,False,True,570.0,0.0,False,True,0.05434782608695652,0.5
2025,Cerebras WSE-3,Cerebras,13/3/2024,0,1250,23000,1116,2500000,2790.0,Wafer-scale 4 trillion transistors,AI expansion,True,2024-03-13,False,False,True,2790.0,0.0,False,True,0.05434782608695652,0.5
2026,Cerebras WSE-3,Cerebras,13/3/2024,0,1250,23000,746,2500000,1865.0,Wafer-scale 4 trillion transistors,AI expansion,True,2024-03-13,False,False,True,1865.0,0.0,False,True,0.05434782608695652,0.5
2024,Groq LPU,Groq,19/2/2024,230,750,350,8709,15000,130.6,Inference-optimized,AI expansion,False,2024-02-19,False,False,False,130.635,0.03499999999999659,False,True,2.142857142857143,50.0
2025,Groq LPU,Groq,19/2/2024,230,750,350,25845,15000,387.7,Inference-optimized,AI expansion,True,2024-02-19,False,False,False,387.675,0.024999999999977263,False,True,2.142857142857143,50.0
2026,Groq LPU,Groq,19/2/2024,230,750,350,25084,15000,376.3,Inference-optimized,AI expansion,True,2024-02-19,False,False,False,376.26,0.040000000000020464,False,True,2.142857142857143,50.0
2023,SambaNova SN40L,SambaNova,19/9/2023,1500,510,300,258,15000,3.9,Reconfigurable dataflow,AI expansion,False,2023-09-19,False,False,False,3.87,0.029999999999999805,False,True,1.7,34.0
2024,SambaNova SN40L,SambaNova,19/9/2023,1500,510,300,3312,15000,49.7,Reconfigurable dataflow,AI expansion,False,2023-09-19,False,False,False,49.68,0.020000000000003126,False,True,1.7,34.0
2025,SambaNova SN40L,SambaNova,19/9/2023,1500,510,300,3199,15000,48.0,Reconfigurable dataflow,AI expansion,True,2023-09-19,False,False,False,47.985,0.015000000000000568,False,True,1.7,34.0
2026,SambaNova SN40L,SambaNova,19/9/2023,1500,510,300,1070,15000,16.1,Reconfigurable dataflow,AI expansion,True,2023-09-19,False,False,False,16.05,0.05000000000000071,False,True,1.7,34.0
2024,Tenstorrent Blackhole,Tenstorrent,26/8/2024,32,745,300,81,15000,1.2,RISC-V based,AI expansion,False,2024-08-26,False,False,False,1.215,0.015000000000000124,False,True,2.4833333333333334,49.666666666666664
2025,Tenstorrent Blackhole,Tenstorrent,26/8/2024,32,745,300,861,15000,12.9,RISC-V based,AI expansion,True,2024-08-26,False,False,False,12.915,0.014999999999998792,False,True,2.4833333333333334,49.666666666666664
2026,Tenstorrent Blackhole,Tenstorrent,26/8/2024,32,745,300,883,15000,13.2,RISC-V based,AI expansion,True,2024-08-26,False,False,False,13.245,0.04499999999999993,False,True,2.4833333333333334,49.666666666666664
2020,Huawei Ascend 910,Huawei,23/8/2019,32,256,310,1077,15000,16.2,"Initial Ascend, before sanctions",Smart automobile expansion,False,2019-08-23,False,False,False,16.155,0.04499999999999815,False,True,0.8258064516129032,17.066666666666666
2021,Huawei Ascend 910,Huawei,23/8/2019,32,256,310,812,15000,12.2,"Initial Ascend, before sanctions",Smart automobile expansion,False,2019-08-23,False,False,False,12.18,0.019999999999999574,False,True,0.8258064516129032,17.066666666666666
2022,Huawei Ascend 910,Huawei,23/8/2019,32,256,310,337,15000,5.1,"Initial Ascend, before sanctions",Transition Year,False,2019-08-23,False,False,False,5.055,0.04499999999999993,False,True,0.8258064516129032,17.066666666666666
2023,Huawei Ascend 910,Huawei,23/8/2019,32,256,310,168,15000,2.5,"Initial Ascend, before sanctions",AI expansion,False,2019-08-23,False,False,False,2.52,0.020000000000000018,False,True,0.8258064516129032,17.066666666666666
2024,Huawei Ascend 910,Huawei,23/8/2019,32,256,310,124,15000,1.9,"Initial Ascend, before sanctions",AI expansion,False,2019-08-23,False,False,False,1.86,0.039999999999999813,False,True,0.8258064516129032,17.066666666666666
2025,Huawei Ascend 910,Huawei,23/8/2019,32,256,310,178,15000,2.7,"Initial Ascend, before sanctions",AI expansion,True,2019-08-23,False,False,False,2.67,0.03000000000000025,False,True,0.8258064516129032,17.066666666666666
2026,Huawei Ascend 910,Huawei,23/8/2019,32,256,310,230,15000,3.5,"Initial Ascend, before sanctions",AI expansion,True,2019-08-23,False,False,False,3.45,0.04999999999999982,False,True,0.8258064516129032,17.066666666666666
2023,Huawei Ascend 910B,Huawei,29/8/2023,64,512,392,31695,15000,475.4,Domestic-supply chain,AI expansion,False,2023-08-29,False,False,False,475.425,0.025000000000034106,False,True,1.3061224489795917,34.13333333333333
2024,Huawei Ascend 910B,Huawei,29/8/2023,64,512,392,327421,15000,4911.3,Domestic-supply chain,AI expansion,False,2023-08-29,False,False,False,4911.315,0.014999999999417923,False,True,1.3061224489795917,34.13333333333333
2025,Huawei Ascend 910B,Huawei,29/8/2023,64,512,392,222897,15000,3343.5,Domestic-supply chain,AI expansion,True,2023-08-29,False,False,False,3343.455,0.04500000000007276,False,True,1.3061224489795917,34.13333333333333
2026,Huawei Ascend 910B,Huawei,29/8/2023,64,512,392,91465,15000,1372.0,Domestic-supply chain,AI expansion,True,2023-08-29,False,False,False,1371.975,0.02500000000009095,False,True,1.3061224489795917,34.13333333333333
2024,Huawei Ascend 910C,Huawei,15/9/2024,64,800,450,3425,20000,68.5,"Latest Huawei, ~80% H100 performance",AI expansion,False,2024-09-15,False,False,False,68.5,0.0,False,True,1.7777777777777777,40.0
2025,Huawei Ascend 910C,Huawei,15/9/2024,64,800,450,42439,20000,848.8,"Latest Huawei, ~80% H100 performance",AI expansion,True,2024-09-15,False,False,False,848.78,0.01999999999998181,False,True,1.7777777777777777,40.0
2026,Huawei Ascend 910C,Huawei,15/9/2024,64,800,450,32195,20000,643.9,"Latest Huawei, ~80% H100 performance",AI expansion,True,2024-09-15,False,False,False,643.9,0.0,False,True,1.7777777777777777,40.0
2021,Cambricon MLU370,Cambricon,15/11/2021,16,256,250,32,15000,0.5,Chinese AI accelerator,Smart automobile expansion,False,2021-11-15,False,False,False,0.48,0.020000000000000018,False,True,1.024,17.066666666666666
2022,Cambricon MLU370,Cambricon,15/11/2021,16,256,250,1041,15000,15.6,Chinese AI accelerator,Transition Year,False,2021-11-15,False,False,False,15.615,0.015000000000000568,False,True,1.024,17.066666666666666
2023,Cambricon MLU370,Cambricon,15/11/2021,16,256,250,846,15000,12.7,Chinese AI accelerator,AI expansion,False,2021-11-15,False,False,False,12.69,0.009999999999999787,False,True,1.024,17.066666666666666
2024,Cambricon MLU370,Cambricon,15/11/2021,16,256,250,381,15000,5.7,Chinese AI accelerator,AI expansion,False,2021-11-15,False,False,False,5.715,0.01499999999999968,False,True,1.024,17.066666666666666
2025,Cambricon MLU370,Cambricon,15/11/2021,16,256,250,146,15000,2.2,Chinese AI accelerator,AI expansion,True,2021-11-15,False,False,False,2.19,0.010000000000000231,False,True,1.024,17.066666666666666
2026,Cambricon MLU370,Cambricon,15/11/2021,16,256,250,173,15000,2.6,Chinese AI accelerator,AI expansion,True,2021-11-15,False,False,False,2.595,0.004999999999999893,False,True,1.024,17.066666666666666
2024,Apple M4 (NPU),Apple,7/5/2024,16,38,23,174,15000,2.6,Consumer NPU 38 TOPS,AI expansion,False,2024-05-07,False,False,False,2.61,0.009999999999999787,False,True,1.6521739130434783,2.533333333333333
2025,Apple M4 (NPU),Apple,7/5/2024,16,38,23,1082,15000,16.2,Consumer NPU 38 TOPS,AI expansion,True,2024-05-07,False,False,False,16.23,0.030000000000001137,False,True,1.6521739130434783,2.533333333333333
2026,Apple M4 (NPU),Apple,7/5/2024,16,38,23,776,15000,11.6,Consumer NPU 38 TOPS,AI expansion,True,2024-05-07,False,False,False,11.64,0.040000000000000924,False,True,1.6521739130434783,2.533333333333333
2025,Apple M5 (NPU),Apple,30/10/2025,16,60,28,47,15000,0.7,M5 NPU generation,AI expansion,True,2025-10-30,False,False,False,0.705,0.0050000000000000044,False,True,2.142857142857143,4.0
2026,Apple M5 (NPU),Apple,30/10/2025,16,60,28,809,15000,12.1,M5 NPU generation,AI expansion,True,2025-10-30,False,False,False,12.135,0.03500000000000014,False,True,2.142857142857143,4.0
